Dados sensor de vazão
id:SV40L
unidade:l/s
Numero de amostras:1000
Periodo de amostragem (s): 1
Horario,dado
07:16:53,49
07:16:54,35
07:16:55,51
07:16:56,51
07:16:57,26
07:16:58,50
07:16:59,32
07:17:00,54
07:17:01,62
07:17:02,44
07:17:03,15
07:17:04,26
07:17:05,74
07:17:06,69
07:17:07,34
07:17:08,41
07:17:09,36
07:17:10,15
07:17:11,61
07:17:12,39
07:17:13,64
07:17:14,25
07:17:15,43
07:17:16,76
07:17:17,52
07:17:18,67
07:17:19,21
07:17:20,58
07:17:21,77
07:17:22,39
07:17:23,17
07:17:24,24
07:17:25,34
07:17:26,48
07:17:27,81
07:17:28,35
07:17:29,44
07:17:30,28
07:17:31,72
07:17:32,73
07:17:33,46
07:17:34,77
07:17:35,39
07:17:36,46
07:17:37,23
07:17:38,23
07:17:39,15
07:17:40,30
07:17:41,83
07:17:42,73
07:17:43,74
07:17:44,58
07:17:45,70
07:17:46,20
07:17:47,28
07:17:48,80
07:17:49,53
07:17:50,50
07:17:51,49
07:17:52,79
07:17:53,52
07:17:54,26
07:17:55,52
07:17:56,69
07:17:57,22
07:17:58,73
07:17:59,43
07:18:00,72
07:18:01,56
07:18:02,36
07:18:03,66
07:18:04,30
07:18:05,19
07:18:06,33
07:18:07,61
07:18:08,31
07:18:09,72
07:18:10,19
07:18:11,56
07:18:12,69
07:18:13,72
07:18:14,80
07:18:15,54
07:18:16,66
07:18:17,47
07:18:18,73
07:18:19,70
07:18:20,48
07:18:21,19
07:18:22,28
07:18:23,47
07:18:24,32
07:18:25,53
07:18:26,16
07:18:27,50
07:18:28,55
07:18:29,17
07:18:30,34
07:18:31,49
07:18:32,34
07:18:33,17
07:18:34,46
07:18:35,68
07:18:36,41
07:18:37,50
07:18:38,26
07:18:39,42
07:18:40,47
07:18:41,73
07:18:42,68
07:18:43,29
07:18:44,54
07:18:45,78
07:18:46,46
07:18:47,23
07:18:48,35
07:18:49,61
07:18:50,16
07:18:51,40
07:18:52,31
07:18:53,62
07:18:54,18
07:18:55,62
07:18:56,57
07:18:57,23
07:18:58,36
07:18:59,37
07:19:00,51
07:19:01,78
07:19:02,23
07:19:03,42
07:19:04,60
07:19:05,53
07:19:06,18
07:19:07,70
07:19:08,27
07:19:09,63
07:19:10,41
07:19:11,15
07:19:12,80
07:19:13,42
07:19:14,82
07:19:15,26
07:19:16,24
07:19:17,71
07:19:18,45
07:19:19,58
07:19:20,63
07:19:21,22
07:19:22,59
07:19:23,44
07:19:24,44
07:19:25,72
07:19:26,41
07:19:27,24
07:19:28,54
07:19:29,66
07:19:30,21
07:19:31,49
07:19:32,75
07:19:33,46
07:19:34,54
07:19:35,16
07:19:36,62
07:19:37,48
07:19:38,64
07:19:39,16
07:19:40,76
07:19:41,61
07:19:42,71
07:19:43,44
07:19:44,27
07:19:45,43
07:19:46,19
07:19:47,24
07:19:48,39
07:19:49,46
07:19:50,42
07:19:51,80
07:19:52,29
07:19:53,71
07:19:54,48
07:19:55,77
07:19:56,45
07:19:57,77
07:19:58,64
07:19:59,83
07:20:00,73
07:20:01,45
07:20:02,21
07:20:03,56
07:20:04,43
07:20:05,55
07:20:06,76
07:20:07,33
07:20:08,26
07:20:09,48
07:20:10,25
07:20:11,70
07:20:12,25
07:20:13,36
07:20:14,47
07:20:15,38
07:20:16,69
07:20:17,19
07:20:18,21
07:20:19,75
07:20:20,57
07:20:21,67
07:20:22,58
07:20:23,61
07:20:24,71
07:20:25,29
07:20:26,57
07:20:27,67
07:20:28,82
07:20:29,43
07:20:30,52
07:20:31,51
07:20:32,68
07:20:33,67
07:20:34,56
07:20:35,55
07:20:36,83
07:20:37,80
07:20:38,60
07:20:39,41
07:20:40,49
07:20:41,16
07:20:42,33
07:20:43,74
07:20:44,78
07:20:45,48
07:20:46,49
07:20:47,40
07:20:48,26
07:20:49,17
07:20:50,62
07:20:51,52
07:20:52,58
07:20:53,35
07:20:54,60
07:20:55,21
07:20:56,49
07:20:57,34
07:20:58,82
07:20:59,24
07:21:00,31
07:21:01,52
07:21:02,58
07:21:03,39
07:21:04,60
07:21:05,49
07:21:06,47
07:21:07,57
07:21:08,80
07:21:09,37
07:21:10,44
07:21:11,57
07:21:12,19
07:21:13,52
07:21:14,69
07:21:15,69
07:21:16,43
07:21:17,18
07:21:18,18
07:21:19,58
07:21:20,40
07:21:21,53
07:21:22,72
07:21:23,28
07:21:24,41
07:21:25,75
07:21:26,16
07:21:27,21
07:21:28,21
07:21:29,43
07:21:30,79
07:21:31,55
07:21:32,63
07:21:33,69
07:21:34,49
07:21:35,31
07:21:36,50
07:21:37,32
07:21:38,30
07:21:39,18
07:21:40,17
07:21:41,52
07:21:42,64
07:21:43,59
07:21:44,19
07:21:45,39
07:21:46,77
07:21:47,69
07:21:48,40
07:21:49,81
07:21:50,39
07:21:51,17
07:21:52,51
07:21:53,32
07:21:54,42
07:21:55,42
07:21:56,27
07:21:57,21
07:21:58,47
07:21:59,46
07:22:00,19
07:22:01,54
07:22:02,61
07:22:03,53
07:22:04,30
07:22:05,45
07:22:06,32
07:22:07,41
07:22:08,44
07:22:09,74
07:22:10,74
07:22:11,52
07:22:12,33
07:22:13,23
07:22:14,30
07:22:15,31
07:22:16,51
07:22:17,25
07:22:18,45
07:22:19,19
07:22:20,63
07:22:21,69
07:22:22,77
07:22:23,28
07:22:24,52
07:22:25,44
07:22:26,68
07:22:27,70
07:22:28,66
07:22:29,65
07:22:30,61
07:22:31,63
07:22:32,17
07:22:33,26
07:22:34,63
07:22:35,15
07:22:36,75
07:22:37,68
07:22:38,53
07:22:39,69
07:22:40,29
07:22:41,63
07:22:42,15
07:22:43,69
07:22:44,19
07:22:45,65
07:22:46,81
07:22:47,61
07:22:48,38
07:22:49,71
07:22:50,76
07:22:51,22
07:22:52,70
07:22:53,38
07:22:54,21
07:22:55,45
07:22:56,79
07:22:57,47
07:22:58,74
07:22:59,42
07:23:00,22
07:23:01,40
07:23:02,57
07:23:03,70
07:23:04,25
07:23:05,18
07:23:06,35
07:23:07,20
07:23:08,22
07:23:09,80
07:23:10,49
07:23:11,18
07:23:12,35
07:23:13,52
07:23:14,15
07:23:15,65
07:23:16,81
07:23:17,20
07:23:18,63
07:23:19,64
07:23:20,25
07:23:21,28
07:23:22,25
07:23:23,52
07:23:24,41
07:23:25,46
07:23:26,44
07:23:27,77
07:23:28,48
07:23:29,51
07:23:30,30
07:23:31,25
07:23:32,61
07:23:33,56
07:23:34,29
07:23:35,61
07:23:36,65
07:23:37,40
07:23:38,31
07:23:39,80
07:23:40,80
07:23:41,27
07:23:42,30
07:23:43,60
07:23:44,41
07:23:45,73
07:23:46,50
07:23:47,67
07:23:48,31
07:23:49,61
07:23:50,41
07:23:51,38
07:23:52,62
07:23:53,22
07:23:54,80
07:23:55,41
07:23:56,36
07:23:57,71
07:23:58,66
07:23:59,36
07:24:00,49
07:24:01,24
07:24:02,81
07:24:03,52
07:24:04,30
07:24:05,81
07:24:06,45
07:24:07,78
07:24:08,53
07:24:09,23
07:24:10,79
07:24:11,34
07:24:12,44
07:24:13,69
07:24:14,80
07:24:15,66
07:24:16,57
07:24:17,30
07:24:18,29
07:24:19,24
07:24:20,20
07:24:21,19
07:24:22,34
07:24:23,80
07:24:24,28
07:24:25,26
07:24:26,41
07:24:27,59
07:24:28,20
07:24:29,15
07:24:30,53
07:24:31,28
07:24:32,25
07:24:33,44
